

value	index	 prev	 next

20561	    0	    0	    0	
20561	    1	   -1	    2	
20561	    2	   -1	    3	
20561	    3	   -1	    4	
20561	    4	   -1	    5	
20561	    5	   -1	    6	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    1	    2	
   12	    1	    0	    0	
20561	    2	   -1	    3	
20561	    3	   -1	    4	
20561	    4	   -1	    5	
20561	    5	   -1	    6	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    2	    3	
   12	    1	    0	    2	
    1	    2	    1	    0	
20561	    3	   -1	    4	
20561	    4	   -1	    5	
20561	    5	   -1	    6	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    3	    4	
   12	    1	    0	    2	
    1	    2	    1	    3	
  121	    3	    2	    0	
20561	    4	   -1	    5	
20561	    5	   -1	    6	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    4	    5	
   12	    1	    0	    2	
    1	    2	    1	    3	
  121	    3	    2	    4	
 8989	    4	    3	    0	
20561	    5	   -1	    6	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    5	    6	
   12	    1	    0	    2	
    1	    2	    1	    3	
  121	    3	    2	    4	
 8989	    4	    3	    5	
    5	    5	    4	    0	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    0	


value	index	 prev	 next

20561	    0	    5	    6	
   12	    1	    0	    3	
20561	    2	   -1	    0	
  121	    3	    1	    4	
 8989	    4	    3	    5	
    5	    5	    4	    0	
20561	    6	   -1	    7	
20561	    7	   -1	    8	
20561	    8	   -1	    9	
20561	    9	   -1	    2	
